t	counts	wl0	bth	t0	t1	OD
259.8	16604.584					
260.4	16385.9316					
261	16587.207					
261.6	16797.1719					
262.2	16604.584					
262.8	16564.0391					
263.4	16688.5703					
264	16698.7051					
264.6	16915.9121					
265.2	16510.4629					
265.8	16668.2969					
266.4	16836.2695					
267	16646.5781					
267.6	17020.1699					
268.2	16661.0566					
268.8	17150.4922					
269.4	16823.2363					
270	16921.7012					
270.6	16765.3145					
271.2	16969.4883					
271.8	17144.7012					
272.4	17052.0254					
273	16831.9258					
273.6	17079.5371					
274.2	16805.8594					
274.8	16891.2949					
275.4	17180.9004					
276	17005.6875					
276.6	17212.7578					
277.2	16991.209					
277.8	17327.1523					
278.4	16873.918					
279	17191.0371					
279.6	17107.0508					
280.2	17059.2656					
280.8	17317.0156					
281.4	16963.6953					
282	16981.0723					
282.6	17036.0977					
283.2	17479.1953					
283.8	17288.0547					
284.4	17421.2734					
285	17170.7637					
285.6	16921.7012					
286.2	17335.8418					
286.8	17454.5781					
287.4	17566.0762					
288	17557.3887					
288.6	17260.543					
289.2	17466.1621					
289.8	17396.6582					
290.4	17613.8633					
291	17212.7578					
291.6	17314.1191					
292.2	17162.0762					
292.8	17558.8379					
293.4	17774.5938					
294	17164.9727					
294.6	17377.832					
295.2	17710.8809					
295.8	17416.9297					
296.4	17558.8379					
297	17567.5254					
297.6	18019.3125					
298.2	17755.7695					
298.8	17764.457					
299.4	18007.7285					
300	17545.8047					
300.6	17584.9023					
301.2	17829.6191					
301.8	17807.8984					
302.4	17718.1191					
303	17689.1582					
303.6	17553.0449					
304.2	17826.7227					
304.8	17525.5332					
305.4	17537.1172					
306	17622.5488					
306.6	17679.0234					
307.2	17920.8457					
307.8	17873.0605					
308.4	17654.4082					
309	17793.418					
309.6	18074.3379					
310.2	17516.8438					
310.8	18122.1211					
311.4	17721.0176					
312	18039.584					
312.6	17970.0781					
313.2	18041.0332					
313.8	17891.8848					
314.4	17946.9082					
315	18009.1738					
315.6	18043.9277					
316.2	17873.0605					
316.8	18117.7773					
317.4	17975.8691					
318	18145.291					
318.6	18087.3672					
319.2	17952.7012					
319.8	18087.3672					
320.4	18197.4199					
321	17961.3906					
321.6	18168.459					
322.2	18158.3223					
322.8	18078.6816					
323.4	18206.1074					
324	18113.4336					
324.6	18029.4473					
325.2	18175.6992					
325.8	18096.0566					
326.4	18206.1074					
327	18071.4395					
327.6	18515.9863					
328.2	18169.9082					
328.8	18507.2969					
329.4	18230.7246					
330	16756.627					
330.6	16833.373					
331.2	16663.9551					
331.8	16480.0527					
332.4	16364.2109					
333	15850.1592					
333.6	15951.5215					
334.2	15698.1162					
334.8	15617.0264					
335.4	15431.6777					
336	15347.6924					
336.6	15118.9033					
337.2	14803.2324					
337.8	14801.7842					
338.4	14599.0586					
339	14594.7158					
339.6	14006.8145					
340.2	14180.5781					
340.8	14077.7686					
341.4	14071.9766					
342	14056.0469					
342.6	13611.502					
343.2	13692.5908					
343.8	13696.9355					
344.4	13485.5225					
345	13398.6406					
345.6	13479.7305					
346.2	13319					
346.8	12965.6797					
347.4	12996.0879					
348	12741.2344					
348.6	12984.5039					
349.2	12787.5713					
349.8	12480.5889					
350.4	12369.0898					
351	12237.3193					
351.6	12256.1436					
352.2	12120.0283					
352.8	11967.9854					
353.4	11805.8057					
354	12018.666					
354.6	11781.1895					
355.2	11957.8496					
355.8	11889.791					
356.4	11726.1631					
357	11571.2246					
357.6	11252.6572					
358.2	11329.4033					
358.8	11553.8477					
359.4	11401.8047					
360	11191.8398					
360.6	11220.8008					
361.2	11188.9434					
361.8	10945.6748					
362.4	10984.7715					
363	10760.3262					
363.6	10829.8311					
364.2	10514.1611					
364.8	10831.2803					
365.4	10677.7891					
366	10761.7744					
366.6	10624.2119					
367.2	10108.7119					
367.8	10443.208					
368.4	10246.2754					
369	10305.6445					
369.6	10149.2578					
370.2	10172.4248					
370.8	10005.9023					
371.4	10142.0166					
372	10004.4531					
372.6	9997.21387					
373.2	9599.00488					
373.8	9691.67871					
374.4	9830.68945					
375	9766.97656					
375.6	9510.6748					
376.2	9832.1377					
376.8	9599.00488					
377.4	9604.79688					
378	9457.09766					
378.6	9629.41309					
379.2	9070.47363					
379.8	9160.25098					
380.4	9360.0791					
381	9316.63867					
381.6	9294.91797					
382.2	9051.64941					
382.8	8895.26074					
383.4	8977.79883					
384	8928.56543					
384.6	8998.07129					
385.2	9157.35547					
385.8	8791.00293					
386.4	8814.1709					
387	8780.86621					
387.6	8637.51074					
388.2	8653.44043					
388.8	8756.25					
389.4	8453.61133					
390	8595.51855					
390.6	8504.29199					
391.2	8514.42871					
391.8	8459.40332					
392.4	8358.04102					
393	8321.83984					
393.6	8514.42871					
394.2	8053.95459					
394.8	8178.48535					
395.4	8208.89355					
396	8242.19922					
396.6	7893.22266					
397.2	8255.23145					
397.8	8217.58203					
398.4	8020.64941					
399	7938.11182					
399.6	7958.38428					
400.2	7998.9292					
400.8	7619.54492					
401.4	7564.51953					
402	7851.22998					
402.6	7680.36182					
403.2	7560.17529					
403.8	7450.125					
404.4	7428.4043					
405	7713.66699					
405.6	7471.84521					
406.2	7583.34424					
406.8	7551.4873					
407.4	7563.07129					
408	7426.95654					
408.6	7421.16455					
409.2	7419.7168					
409.8	7269.12109					
410.4	7300.97754					
411	7154.72656					
411.6	7224.23193					
412.2	7309.66602					
412.8	7014.26709					
413.4	7064.94873					
414	7009.92334					
414.6	7143.14209					
415.2	7041.78027					
415.8	6833.26318					
416.4	7021.50781					
417	7069.29248					
417.6	7057.7085					
418.2	6742.0376					
418.8	6659.5					
419.4	6952.00244					
420	6663.84326					
420.6	6876.7041					
421.2	6663.84326					
421.8	6805.75098					
422.4	6965.03418					
423	6770.99805					
423.6	6676.87598					
424.2	6736.24561					
424.8	6537.86475					
425.4	6665.2915					
426	6598.68213					
426.6	6435.05469					
427.2	6595.78613					
427.8	6503.11182					
428.4	6465.46338					
429	6314.86816					
429.6	6549.44922					
430.2	6366.99707					
430.8	6420.57422					
431.4	6251.1543					
432	6251.1543					
432.6	6374.2373					
433.2	6340.93262					
433.8	6410.43799					
434.4	6335.14014					
435	6174.40869					
435.6	6297.4917					
436.2	6159.92822					
436.8	5939.82764					
437.4	6154.13672					
438	6093.31885					
438.6	5886.25049					
439.2	6088.9751					
439.8	5934.03564					
440.4	5894.93896					
441	6161.37646					
441.6	6020.91748					
442.2	5834.12109					
442.8	5944.17139					
443.4	5850.0498					
444	5900.73096					
444.6	5923.89941					
445.2	5739.99902					
445.8	5658.90918					
446.4	5544.51465					
447	5868.87402					
447.6	5719.72705					
448.2	5692.21387					
448.8	5606.77979					
449.4	5742.89502					
450	5741.44727					
450.6	5719.72705					
451.2	5587.95605					
451.8	5590.85205					
452.4	5556.09912					
453	5417.08789					
453.6	5469.21729					
454.2	5515.5542					
454.8	5554.65137					
455.4	5508.31396					
456	5304.1416					
456.6	5398.26318					
457.2	5480.80127					
457.8	5567.68311					
458.4	5341.79053					
459	5456.18506					
459.6	5312.82959					
460.2	5302.69385					
460.8	5412.74414					
461.4	5331.6543					
462	5276.62891					
462.6	5201.33105					
463.2	5388.12744					
463.8	5207.12354					
464.4	5224.49951					
465	5252.01221					
465.6	5072.45654					
466.2	5082.59277					
466.8	5241.87598					
467.4	5178.16309					
468	5186.85059					
468.6	4971.09375					
469.2	5301.24561					
469.8	5060.87207					
470.4	5143.40967					
471	5156.44238					
471.6	5033.35938					
472.2	5186.85059					
472.8	5111.55322					
473.4	5107.20898					
474	4989.91846					
474.6	5115.89746					
475.2	4871.18018					
475.8	4848.01123					
476.4	4984.12646					
477	4859.5957					
477.6	4982.67822					
478.2	4791.53809					
478.8	4868.28369					
479.4	4737.96094					
480	4664.11133					
480.6	4730.7207					
481.2	4740.85693					
481.8	4814.70654					
482.4	4940.68555					
483	4766.92139					
483.6	4685.83154					
484.2	4704.65625					
484.8	4787.19434					
485.4	4520.75635					
486	4777.05762					
486.6	4649.63086					
487.2	4632.25439					
487.8	4701.76025					
488.4	4574.3335					
489	4753.88965					
489.6	4574.3335					
490.2	4574.3335					
490.8	4687.27979					
491.4	4558.40479					
492	4556.95703					
492.6	4499.03564					
493.2	4464.28271					
493.8	4481.65918					
494.4	4438.21826					
495	4375.95313					
495.6	4538.13281					
496.2	4465.73096					
496.8	4486.00342					
497.4	4365.81689					
498	4325.27197					
498.6	4499.03564					
499.2	4400.56934					
499.8	4436.77002					
500.4	4338.30371					
501	4459.93896					
501.6	4526.54834					
502.2	4312.23975					
502.8	4222.46143					
503.4	4260.11035					
504	4287.62305					
504.6	4232.59766					
505.2	4273.14258					
505.8	4267.35059					
506.4	4257.21436					
507	4249.97461					
507.6	4190.60498					
508.2	4226.80566					
508.8	4210.87695					
509.4	4241.28613					
510	4064.62622					
510.6	4012.49683					
511.2	4171.78027					
511.8	4108.06689					
512.4	4212.3252					
513	4095.03467					
513.6	4145.71582					
514.2	4113.85938					
514.8	3987.88037					
515.4	4074.76221					
516	3992.22437					
516.6	3954.57568					
517.2	3947.33545					
517.8	3977.74414					
518.4	4068.97021					
519	4108.06689					
519.6	4096.48291					
520.2	3986.43237					
520.8	4038.56152					
521.4	3935.75122					
522	3844.52515					
522.6	3864.79761					
523.2	3759.09131					
523.8	4031.32129					
524.4	3945.88721					
525	3918.375					
525.6	3725.78662					
526.2	3932.85522					
526.8	3890.8623					
527.4	3848.86938					
528	3900.99854					
528.6	3895.2063					
529.2	3789.5					
529.8	3727.23462					
530.4	3607.04785					
531	3773.57178					
531.6	3864.79761					
532.2	3686.6897					
532.8	3793.84424					
533.4	3689.58594					
534	3712.75415					
534.6	3754.74707					
535.2	3612.84009					
535.8	3649.04077					
536.4	3549.12671					
537	3531.75024					
537.6	3747.50708					
538.2	3634.56055					
538.8	3637.45654					
539.4	3689.58594					
540	3670.76123					
540.6	3565.05493					
541.2	3625.87256					
541.8	3605.6001					
542.4	3630.21631					
543	3611.39185					
543.6	3659.177					
544.2	3596.91162					
544.8	3651.93677					
545.4	3483.96509					
546	3533.19824					
546.6	3456.45264					
547.2	3530.30225					
547.8	3520.16602					
548.4	3386.94702					
549	3605.6001					
549.6	3614.28809					
550.2	3401.42725					
550.8	3573.74316					
551.4	3414.45972					
552	3447.7644					
552.6	3372.4668					
553.2	3337.71387					
553.8	3424.59595					
554.4	3395.63501					
555	3402.87549					
555.6	3343.5061					
556.2	3330.47388					
556.8	3405.77148					
557.4	3553.4707					
558	3455.00464					
558.6	3323.23364					
559.2	3207.39087					
559.8	3274.00049					
560.4	3323.23364					
561	3234.90356					
561.6	3291.37695					
562.2	3304.40918					
562.8	3298.61719					
563.4	3314.54541					
564	3349.29834					
564.6	3291.37695					
565.2	3236.35181					
565.8	3305.85742					
566.4	3232.00757					
567	3278.34473					
567.6	3224.76758					
568.2	3292.82495					
568.8	3227.66333					
569.4	3211.73511					
570	3205.94287					
570.6	3232.00757					
571.2	3298.61719					
571.8	3159.6062					
572.4	3037.97119					
573	3110.37305					
573.6	3095.89258					
574.2	3279.79272					
574.8	3075.62036					
575.4	3136.4375					
576	3117.61328					
576.6	3051.00366					
577.2	3087.20435					
577.8	3078.51611					
578.4	2991.63428					
579	3159.6062					
579.6	3046.65942					
580.2	3106.02881					
580.8	3017.69873					
581.4	3127.74927					
582	3016.25073					
582.6	2997.42627					
583.2	3158.15796					
583.8	3022.04297					
584.4	3046.65942					
585	3039.41919					
585.6	2988.73828					
586.2	3101.68457					
586.8	3161.0542					
587.4	3013.35498					
588	3026.38696					
588.6	2977.15381					
589.2	2922.12891					
589.8	2925.0249					
590.4	2951.08936					
591	2907.64844					
591.6	2927.9209					
592.2	2717.95605					
592.8	2961.22559					
593.4	2945.29736					
594	2830.90259					
594.6	2958.32959					
595.2	2846.83105					
595.8	2932.26489					
596.4	2949.64136					
597	2700.57983					
597.6	2836.69482					
598.2	2891.71997					
598.8	2772.98145					
599.4	2839.59106					
600	2917.78467					
600.6	2823.66235					
601.2	2642.65845					
601.8	2883.03198					
602.4	2841.03906					
603	2804.83813					
603.6	2871.44751					
604.2	2914.88843					
604.8	2649.89868					
605.4	2900.4082					
606	2735.33276					
606.6	2835.24683					
607.2	2761.39697					
607.8	2736.78076					
608.4	2742.57275					
609	2775.87769					
609.6	2657.13867					
610.2	2729.54053					
610.8	2752.70898					
611.4	2803.38989					
612	2662.93091					
612.6	2635.41821					
613.2	2578.94507					
613.8	2706.37207					
614.4	2665.82715					
615	2706.37207					
615.6	2641.21045					
616.2	2761.39697					
616.8	2632.52246					
617.4	2647.00269					
618	2713.6123					
618.6	2729.54053					
619.2	2599.21753					
619.8	2664.37915					
620.4	2706.37207					
621	2583.28931					
621.6	2602.11377					
622.2	2610.802					
622.8	2720.85229					
623.4	2578.94507					
624	2545.64038					
624.6	2528.26392					
625.2	2535.50415					
625.8	2589.08154					
626.4	2535.50415					
627	2616.59399					
627.6	2506.54346					
628.2	2481.927					
628.8	2510.88745					
629.4	2606.45776					
630	2557.22461					
630.6	2480.479					
631.2	2583.28931					
631.8	2555.77661					
632.4	2589.08154					
633	2507.99146					
633.6	2505.0957					
634.2	2594.87354					
634.8	2448.62231					
635.4	2507.99146					
636	2379.11694					
636.6	2437.03809					
637.2	2476.13477					
637.8	2545.64038					
638.4	2445.72607					
639	2483.37524					
639.6	2541.29639					
640.2	2412.42139					
640.8	2531.15991					
641.4	2471.79077					
642	2460.20654					
642.6	2383.46069					
643.2	2342.91577					
643.8	2477.58301					
644.4	2428.34985					
645	2470.34277					
645.6	2435.59009					
646.2	2490.61523					
646.8	2366.08447					
647.4	2473.23877					
648	2351.60425					
648.6	2377.6687					
649.2	2371.87671					
649.8	2334.22778					
650.4	2377.6687					
651	2299.47485					
651.6	2383.46069					
652.2	2355.94824					
652.8	2286.44263					
653.4	2382.0127					
654	2390.70093					
654.6	2358.84424					
655.2	2379.11694					
655.8	2405.18115					
656.4	2319.74731					
657	2366.08447					
657.6	2386.35693					
658.2	2410.97339					
658.8	2392.14893					
659.4	2263.27417					
660	2247.34595					
660.6	2328.43555					
661.2	2287.89063					
661.8	2345.81201					
662.4	2266.17017					
663	2312.50732					
663.6	2273.4104					
664.2	2237.20947					
664.8	2287.89063					
665.4	2237.20947					
666	2247.34595					
666.6	2231.41724					
667.2	2292.23486					
667.8	2154.67163					
668.4	2363.18823					
669	2166.2561					
669.6	2271.9624					
670.2	2183.63232					
670.8	2305.26709					
671.4	2270.5144					
672	2251.68994					
672.6	2159.01587					
673.2	2156.11987					
673.8	2260.37817					
674.4	2169.15186					
675	2203.90479					
675.6	2244.44971					
676.2	2238.65747					
676.8	2167.7041					
677.4	2164.80811					
678	2222.72925					
678.6	2117.02295					
679.2	2111.23071					
679.8	2182.18433					
680.4	2150.32764					
681	2228.52148					
681.6	2063.44556					
682.2	2216.93701					
682.8	2067.78979					
683.4	2132.95117					
684	2180.73633					
684.6	2086.61426					
685.2	1993.94019					
685.8	2079.37427					
686.4	2160.46387					
687	2151.77563					
687.6	2077.92603					
