wl	counts
586.5	0.351744371631409
587	0.344869558392976
587.5	0.344467844308713
588	0.340464017668388
588.5	0.336695846363239
589	0.327708989541055
589.5	0.327147099511027
590	0.32219486080534
590.5	0.314776800210363
591	0.312178413882382
591.5	0.307912159338718
592	0.307272656298597
592.5	0.299105007509154
593	0.295467879949665
593.5	0.291580631404396
594	0.288758896658798
594.5	0.281367676528372
595	0.280383431912685
595.5	0.276100601349922
596	0.268361370386431
596.5	0.270900695229232
597	0.26226509617551
597.5	0.257547014434065
598	0.258033130236951
598.5	0.252613122634044
599	0.246807750954716
599.5	0.247031734622082
600	0.24334035878013
600.5	0.241884872320567
601	0.235737983678974
601.5	0.232942203954643
602	0.227410658400744
602.5	0.225108783031871
603	0.221566593221999
603.5	0.217678346692862
604	0.21628271601319
604.5	0.210528866529917
605	0.215043696253965
605.5	0.208174401224561
606	0.204235198922646
606.5	0.201902169343483
607	0.198789032609314
607.5	0.193165568369764
608	0.192280486891124
608.5	0.18993306048783
609	0.189641397144676
609.5	0.182852894164378
610	0.183009517175963
610.5	0.178210790339233
611	0.176178846819503
611.5	0.172936619523384
612	0.17466047156477
612.5	0.168348230110488
613	0.170300766481373
613.5	0.164605570174877
614	0.163319013644458
614.5	0.157972611304685
615	0.157023427266712
615.5	0.156022526644402
616	0.153099563967548
616.5	0.150959953520924
617	0.14686309581032
617.5	0.146677373151693
618	0.141577004063217
618.5	0.14039419600113
619	0.139572081445008
619.5	0.133208781908325
620	0.134527844066146
620.5	0.131569173470691
621	0.130667175560932
621.5	0.12695892793206
622	0.126944122799525
622.5	0.126502297762522
623	0.123941025645414
623.5	0.124011021239031
624	0.119850048877957
624.5	0.119217822842294
625	0.117754025120993
625.5	0.114338599724277
626	0.112086100839638
626.5	0.111220229387848
627	0.106382150549764
627.5	0.106907289103036
628	0.1043889340126
628.5	0.105078063730487
629	0.102803993326883
629.5	0.0995117077924069
630	0.0983744172815909
630.5	0.0991427504591656
631	0.0938666152985551
631.5	0.0964038744170584
632	0.0924386097617815
632.5	0.0909886690418373
633	0.0881510506342601
633.5	0.0889719107813955
634	0.0877122621468681
634.5	0.0876438112425403
635	0.0866351511793956
635.5	0.0851149542553214
636	0.0830011056507949
636.5	0.0800968700063603
637	0.0770864838496633
637.5	0.0813409528828099
638	0.0768135942293206
638.5	0.0756143581250508
639	0.0753426038624971
639.5	0.0743313948946085
640	0.0712845011300935
640.5	0.0728309248469969
641	0.0680850888300511
641.5	0.0694413055645423
642	0.0692654324393382
642.5	0.0672524209433081
643	0.0646053104014436
643.5	0.0672596418634905
644	0.0661813784246193
644.5	0.061844737650596
645	0.0637201775819749
645.5	0.0607648052627475
646	0.0601074939306211
646.5	0.0567616653990194
647	0.0556039494230333
647.5	0.0572058525791996
648	0.0546227196859191
648.5	0.0564501224590382
649	0.0525798254091864
649.5	0.0529492717824256
650	0.0509976322018906
650.5	0.050526060083949
651	0.0511601023014382
651.5	0.0502353907252867
652	0.0490465942949476
652.5	0.0477471683300599
653	0.0482340280169136
653.5	0.0481630849431784
654	0.0447111115728479
654.5	0.0490348659848109
655	0.0435447385285986
655.5	0.0449200520052835
656	0.0426199475229761
656.5	0.0450935720091586
657	0.0436502107280606
657.5	0.0409444531479964
658	0.0417782563925285
658.5	0.0398666438708425
659	0.0389448870896119
659.5	0.0392958214666572
660	0.0393747971479202
660.5	0.0387261116331175
661	0.0360850725163167
661.5	0.0369200309295012
662	0.0368737451259696
662.5	0.0365086415172004
663	0.0347810426183942
663.5	0.0352648254828493
664	0.0366613417918217
664.5	0.0339158410156079
665	0.0325778013528085
